 "topicURI" , "topicLabel" , "catalog" , "subject" , "topicCount" ,
 "http://dbpedia.org/resource/Stanford_University" , "Stanford" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Stuart_J._Russell" , "Stuart Russell" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Tbox" , "TBox" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/MOS_Technology_TED" , "TED" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/TED_(conference)" , "TED" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Tf–idf" , "TF-IDF" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/The_Tempest" , "Tempest" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/The_Artist_(film)" , "The Artist" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/The_Next_Web" , "The Next Web" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Tim_Berners-Lee" , "Tim Berners-Lee" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Time_complexity" , "Time complexity" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/TriG_(syntax)" , "TriG" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/UIMA" , "UIMA" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/UniProt" , "UniProt" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Unicode" , "Unicode" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/URL" , "Uniform Resource Locator" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/World_Wide_Web" , "WWW" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Web_Ontology_Language" , "Web Ontology Language (OWL)" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/WordNet" , "WordNet" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/WordPress.com" , "Wordpress.com" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/BMW_X5" , "X5" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Exclusive_or" , "XOR" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/YAGO_(database)" , "YAGO" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Le_Titre" , "le titre" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Thesaurus" , "thesauri" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Internet_slang" , "ttl" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Jaguar_XF" , "xf" , "474" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Douglas_A-4_Skyhawk" , "A-4" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/ISO_216" , "A5" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Association_for_Computing_Machinery" , "ACM" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Artificial_general_intelligence" , "AI" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Alain_Colmerauer" , "Alain Colmerauer" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/AlphaGo_Zero" , "AlphaGo Zero" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/AlphaZero" , "AlphaZero" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Americans" , "American" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Andrew_Ng" , "Andrew Ng" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/King_Arthur" , "Arthur" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Bayes_estimator" , "Bayes Rule" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Brad_Rutter" , "Brad Rutter" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/United_Kingdom" , "British" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/C4.5_algorithm" , "C4.5 Algorithm" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/CAPTCHA" , "CAPTCHA" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/CNN" , "CNN" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Central_processing_unit" , "CPU" , "6721" , "COMP" , "1" ,
 "http://dbpedia.org/resource/Computer_vision" , "Computer Vision" , "6721" , "COMP" , "1" ,
